年,年齢層,人数,year
昭和53年,0～9歳,866.0,1978
昭和54年,0～9歳,919.0,1979
昭和55年,0～9歳,678.0,1980
昭和56年,0～9歳,620.0,1981
昭和57年,0～9歳,599.0,1982
昭和58年,0～9歳,657.0,1983
昭和59年,0～9歳,572.0,1984
昭和60年,0～9歳,557.0,1985
昭和61年,0～9歳,802.0,1986
昭和62年,0～9歳,577.0,1987
昭和63年,0～9歳,603.0,1988
平成元年,0～9歳,534.0,1989
平成２年,0～9歳,467.0,1990
平成３年,0～9歳,454.0,1991
平成４年,0～9歳,524.0,1992
平成５年,0～9歳,446.0,1993
平成６年,0～9歳,580.0,1994
平成７年,0～9歳,515.0,1995
平成８年,0～9歳,492.0,1996
平成９年,0～9歳,469.0,1997
平成10年,0～9歳,720.0,1998
平成11年,0～9歳,674.0,1999
平成12年,0～9歳,598.0,2000
平成13年,0～9歳,586.0,2001
平成14年,0～9歳,502.0,2002
平成15年,0～9歳,613.0,2003
平成16年,0～9歳,589.0,2004
平成17年,0～9歳,608.0,2005
平成18年,0～9歳,623.0,2006
平成19年,0～9歳,548.0,2007
平成20年,0～9歳,611.0,2008
平成21年,0～9歳,0.0,2009
平成22年,0～9歳,1.0,2010
平成23年,0～9歳,2.0,2011
平成24年,0～9歳,1.0,2012
平成25年,0～9歳,2.0,2013
平成26年,0～9歳,2.0,2014
平成27年,0～9歳,1.0,2015
平成28年,0～9歳,1.0,2016
平成29年,0～9歳,0.0,2017
平成30年,0～9歳,0.0,2018
令和元年,0～9歳,0.0,2019
令和２年,0～9歳,0.0,2020
令和３年,0～9歳,1.0,2021
令和４年,0～9歳,2.0,2022
令和５年,0～9歳,0.0,2023
令和６年,0～9歳,1.0,2024
昭和53年,10～19歳,,1978
昭和54年,10～19歳,,1979
昭和55年,10～19歳,,1980
昭和56年,10～19歳,,1981
昭和57年,10～19歳,,1982
昭和58年,10～19歳,,1983
昭和59年,10～19歳,,1984
昭和60年,10～19歳,,1985
昭和61年,10～19歳,,1986
昭和62年,10～19歳,,1987
昭和63年,10～19歳,,1988
平成元年,10～19歳,,1989
平成２年,10～19歳,,1990
平成３年,10～19歳,,1991
平成４年,10～19歳,,1992
平成５年,10～19歳,,1993
平成６年,10～19歳,,1994
平成７年,10～19歳,,1995
平成８年,10～19歳,,1996
平成９年,10～19歳,,1997
平成10年,10～19歳,,1998
平成11年,10～19歳,,1999
平成12年,10～19歳,,2000
平成13年,10～19歳,,2001
平成14年,10～19歳,,2002
平成15年,10～19歳,,2003
平成16年,10～19歳,,2004
平成17年,10～19歳,,2005
平成18年,10～19歳,,2006
平成19年,10～19歳,,2007
平成20年,10～19歳,,2008
平成21年,10～19歳,565.0,2009
平成22年,10～19歳,551.0,2010
平成23年,10～19歳,620.0,2011
平成24年,10～19歳,586.0,2012
平成25年,10～19歳,545.0,2013
平成26年,10～19歳,536.0,2014
平成27年,10～19歳,553.0,2015
平成28年,10～19歳,519.0,2016
平成29年,10～19歳,567.0,2017
平成30年,10～19歳,599.0,2018
令和元年,10～19歳,659.0,2019
令和２年,10～19歳,777.0,2020
令和３年,10～19歳,749.0,2021
令和４年,10～19歳,796.0,2022
令和５年,10～19歳,810.0,2023
令和６年,10～19歳,799.0,2024
昭和53年,20～29歳,3741.0,1978
昭和54年,20～29歳,3654.0,1979
昭和55年,20～29歳,3261.0,1980
昭和56年,20～29歳,2777.0,1981
昭和57年,20～29歳,2832.0,1982
昭和58年,20～29歳,3050.0,1983
昭和59年,20～29歳,2737.0,1984
昭和60年,20～29歳,2548.0,1985
昭和61年,20～29歳,2824.0,1986
昭和62年,20～29歳,2588.0,1987
昭和63年,20～29歳,2479.0,1988
平成元年,20～29歳,2357.0,1989
平成２年,20～29歳,2226.0,1990
平成３年,20～29歳,2215.0,1991
平成４年,20～29歳,2313.0,1992
平成５年,20～29歳,2251.0,1993
平成６年,20～29歳,2494.0,1994
平成７年,20～29歳,2509.0,1995
平成８年,20～29歳,2457.0,1996
平成９年,20～29歳,2534.0,1997
平成10年,20～29歳,3472.0,1998
平成11年,20～29歳,3475.0,1999
平成12年,20～29歳,3301.0,2000
平成13年,20～29歳,3095.0,2001
平成14年,20～29歳,3018.0,2002
平成15年,20～29歳,3353.0,2003
平成16年,20～29歳,3247.0,2004
平成17年,20～29歳,3409.0,2005
平成18年,20～29歳,3395.0,2006
平成19年,20～29歳,3309.0,2007
平成20年,20～29歳,3438.0,2008
平成21年,20～29歳,3470.0,2009
平成22年,20～29歳,3240.0,2010
平成23年,20～29歳,3304.0,2011
平成24年,20～29歳,3000.0,2012
平成25年,20～29歳,2801.0,2013
平成26年,20～29歳,2684.0,2014
平成27年,20～29歳,2352.0,2015
平成28年,20～29歳,2235.0,2016
平成29年,20～29歳,2213.0,2017
平成30年,20～29歳,2152.0,2018
令和元年,20～29歳,2117.0,2019
令和２年,20～29歳,2521.0,2020
令和３年,20～29歳,2611.0,2021
令和４年,20～29歳,2483.0,2022
令和５年,20～29歳,2521.0,2023
令和６年,20～29歳,2465.0,2024
昭和53年,30～39歳,3597.0,1978
昭和54年,30～39歳,3808.0,1979
昭和55年,30～39歳,3791.0,1980
昭和56年,30～39歳,3653.0,1981
昭和57年,30～39歳,3787.0,1982
昭和58年,30～39歳,4099.0,1983
昭和59年,30～39歳,3855.0,1984
昭和60年,30～39歳,3519.0,1985
昭和61年,30～39歳,3687.0,1986
昭和62年,30～39歳,3447.0,1987
昭和63年,30～39歳,3180.0,1988
平成元年,30～39歳,2865.0,1989
平成２年,30～39歳,2543.0,1990
平成３年,30～39歳,2391.0,1991
平成４年,30～39歳,2391.0,1992
平成５年,30～39歳,2473.0,1993
平成６年,30～39歳,2410.0,1994
平成７年,30～39歳,2467.0,1995
平成８年,30～39歳,2501.0,1996
平成９年,30～39歳,2767.0,1997
平成10年,30～39歳,3614.0,1998
平成11年,30～39歳,3797.0,1999
平成12年,30～39歳,3685.0,2000
平成13年,30～39歳,3622.0,2001
平成14年,30～39歳,3935.0,2002
平成15年,30～39歳,4603.0,2003
平成16年,30～39歳,4333.0,2004
平成17年,30～39歳,4606.0,2005
平成18年,30～39歳,4497.0,2006
平成19年,30～39歳,4767.0,2007
平成20年,30～39歳,4850.0,2008
平成21年,30～39歳,4794.0,2009
平成22年,30～39歳,4596.0,2010
平成23年,30～39歳,4455.0,2011
平成24年,30～39歳,3781.0,2012
平成25年,30～39歳,3705.0,2013
平成26年,30～39歳,3413.0,2014
平成27年,30～39歳,3087.0,2015
平成28年,30～39歳,2824.0,2016
平成29年,30～39歳,2703.0,2017
平成30年,30～39歳,2597.0,2018
令和元年,30～39歳,2526.0,2019
令和２年,30～39歳,2610.0,2020
令和３年,30～39歳,2554.0,2021
令和４年,30～39歳,2545.0,2022
令和５年,30～39歳,2587.0,2023
令和６年,30～39歳,2399.0,2024
昭和53年,40～49歳,3641.0,1978
昭和54年,40～49歳,3796.0,1979
昭和55年,40～49歳,3911.0,1980
昭和56年,40～49歳,3996.0,1981
昭和57年,40～49歳,4284.0,1982
昭和58年,40～49歳,5460.0,1983
昭和59年,40～49歳,5290.0,1984
昭和60年,40～49歳,4936.0,1985
昭和61年,40～49歳,4948.0,1986
昭和62年,40～49歳,4696.0,1987
昭和63年,40～49歳,4459.0,1988
平成元年,40～49歳,4202.0,1989
平成２年,40～49歳,3982.0,1990
平成３年,40～49歳,3953.0,1991
平成４年,40～49歳,4186.0,1992
平成５年,40～49歳,4146.0,1993
平成６年,40～49歳,3806.0,1994
平成７年,40～49歳,3999.0,1995
平成８年,40～49歳,4147.0,1996
平成９年,40～49歳,4200.0,1997
平成10年,40～49歳,5359.0,1998
平成11年,40～49歳,5363.0,1999
平成12年,40～49歳,4818.0,2000
平成13年,40～49歳,4643.0,2001
平成14年,40～49歳,4813.0,2002
平成15年,40～49歳,5419.0,2003
平成16年,40～49歳,5102.0,2004
平成17年,40～49歳,5208.0,2005
平成18年,40～49歳,5008.0,2006
平成19年,40～49歳,5096.0,2007
平成20年,40～49歳,4970.0,2008
平成21年,40～49歳,5261.0,2009
平成22年,40～49歳,5165.0,2010
平成23年,40～49歳,5053.0,2011
平成24年,40～49歳,4616.0,2012
平成25年,40～49歳,4589.0,2013
平成26年,40～49歳,4234.0,2014
平成27年,40～49歳,4069.0,2015
平成28年,40～49歳,3739.0,2016
平成29年,40～49歳,3668.0,2017
平成30年,40～49歳,3498.0,2018
令和元年,40～49歳,3426.0,2019
令和２年,40～49歳,3568.0,2020
令和３年,40～49歳,3575.0,2021
令和４年,40～49歳,3665.0,2022
令和５年,40～49歳,3625.0,2023
令和６年,40～49歳,3214.0,2024
昭和53年,50～59歳,2753.0,1978
昭和54年,50～59歳,2977.0,1979
昭和55年,50～59歳,3138.0,1980
昭和56年,50～59歳,3304.0,1981
昭和57年,50～59歳,3616.0,1982
昭和58年,50～59歳,4846.0,1983
昭和59年,50～59歳,4912.0,1984
昭和60年,50～59歳,4815.0,1985
昭和61年,50～59歳,5385.0,1986
昭和62年,50～59歳,5129.0,1987
昭和63年,50～59歳,4886.0,1988
平成元年,50～59歳,4296.0,1989
平成２年,50～59歳,4176.0,1990
平成３年,50～59歳,4423.0,1991
平成４年,50～59歳,4708.0,1992
平成５年,50～59歳,4846.0,1993
平成６年,50～59歳,4732.0,1994
平成７年,50～59歳,5031.0,1995
平成８年,50～59歳,5013.0,1996
平成９年,50～59歳,5422.0,1997
平成10年,50～59歳,7898.0,1998
平成11年,50～59歳,8288.0,1999
平成12年,50～59歳,8245.0,2000
平成13年,50～59歳,7883.0,2001
平成14年,50～59歳,8462.0,2002
平成15年,50～59歳,8614.0,2003
平成16年,50～59歳,7772.0,2004
平成17年,50～59歳,7586.0,2005
平成18年,50～59歳,7246.0,2006
平成19年,50～59歳,7046.0,2007
平成20年,50～59歳,6363.0,2008
平成21年,50～59歳,6491.0,2009
平成22年,50～59歳,5959.0,2010
