年,自殺者_総数,自殺者_男性,自殺者_女性,死亡率_総数,死亡率_男性,死亡率_女性,year
昭和53年,20788.0,12859.0,7929.0,18.0,22.7,13.6,1978
昭和54年,21503.0,13386.0,8117.0,18.5,23.4,13.8,1979
昭和55年,21048.0,13155.0,7893.0,18.0,22.8,13.3,1980
昭和56年,20434.0,12942.0,7492.0,17.3,22.3,12.5,1981
昭和57年,21228.0,13654.0,7574.0,17.9,23.4,12.6,1982
昭和58年,25202.0,17116.0,8086.0,21.1,29.1,13.3,1983
昭和59年,24596.0,16508.0,8088.0,20.4,27.9,13.2,1984
昭和60年,23599.0,15624.0,7975.0,19.5,26.3,13.0,1985
昭和61年,25524.0,16497.0,9027.0,21.0,27.6,14.6,1986
昭和62年,24460.0,15802.0,8658.0,20.0,26.3,13.9,1987
昭和63年,23742.0,14934.0,8808.0,19.3,24.8,14.1,1988
平成元年,22436.0,13818.0,8618.0,18.2,22.8,13.7,1989
平成２年,21346.0,13102.0,8244.0,17.3,21.6,13.1,1990
平成３年,21084.0,13242.0,7842.0,17.0,21.7,12.4,1991
平成４年,22104.0,14296.0,7808.0,17.7,23.4,12.3,1992
平成５年,21851.0,14468.0,7383.0,17.5,23.6,11.6,1993
平成６年,21679.0,14560.0,7119.0,17.3,23.7,11.2,1994
平成７年,22445.0,14874.0,7571.0,17.9,24.2,11.8,1995
平成８年,23104.0,15393.0,7711.0,18.4,24.9,12.0,1996
平成９年,24391.0,16416.0,7975.0,19.3,26.6,12.4,1997
平成10年,32863.0,23013.0,9850.0,26.0,37.1,15.3,1998
平成11年,33048.0,23512.0,9536.0,26.1,37.9,14.8,1999
平成12年,31957.0,22727.0,9230.0,25.2,36.6,14.2,2000
平成13年,31042.0,22144.0,8898.0,24.4,35.6,13.7,2001
平成14年,32143.0,23080.0,9063.0,25.2,37.0,13.9,2002
平成15年,34427.0,24963.0,9464.0,27.0,40.0,14.5,2003
平成16年,32325.0,23272.0,9053.0,25.3,37.3,13.8,2004
平成17年,32552.0,23540.0,9012.0,25.5,37.8,13.8,2005
平成18年,32155.0,22813.0,9342.0,25.1,36.6,14.3,2006
平成19年,33093.0,23478.0,9615.0,25.8,37.6,14.7,2007
平成20年,32249.0,22831.0,9418.0,25.2,36.6,14.3,2008
平成21年,32845.0,23472.0,9373.0,25.7,37.6,14.3,2009
平成22年,31690.0,22283.0,9407.0,24.7,35.8,14.3,2010
平成23年,30651.0,20955.0,9696.0,24.0,33.7,14.8,2011
平成24年,27858.0,19273.0,8585.0,21.8,31.0,13.1,2012
平成25年,27283.0,18787.0,8496.0,21.4,30.3,13.0,2013
平成26年,25427.0,17386.0,8041.0,20.0,28.1,12.3,2014
平成27年,24025.0,16681.0,7344.0,18.9,27.0,11.3,2015
平成28年,21897.0,15121.0,6776.0,17.2,24.5,10.4,2016
平成29年,21321.0,14826.0,6495.0,16.8,24.0,10.0,2017
平成30年,20840.0,14290.0,6550.0,16.4,23.2,10.1,2018
令和元年,20169.0,14078.0,6091.0,15.9,22.9,9.4,2019
令和２年,21081.0,14055.0,7026.0,16.7,22.9,10.8,2020
令和３年,21007.0,13939.0,7068.0,16.7,22.8,11.0,2021
令和４年,21881.0,14746.0,7135.0,17.5,24.3,11.1,2022
令和５年,21837.0,14862.0,6975.0,17.6,24.6,10.9,2023
令和６年,20320.0,13801.0,6519.0,16.4,22.9,10.3,2024
