年,category,value
,1,
,1,
自殺者,1,
,1,
,1,"管理的職業従事者
議員・知事・課長以上の公務員
会社・公団等の役員
会社・公団等の部・課長
小売店自営者
不動産業自営者
飲食店自営者
農林漁業自営者
製造業自営者
土木・建築業自営者
その他の自営者"
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,"専門的・技術的職業従事者
研究者
情報処理・通信技術者
医師
歯科医師
獣医師
薬剤師
保健師
助産師
看護師(准看護師を含む)
その他の保健医療従事者
社会福祉専門職業従事者
弁護士
公認会計士
税理士
デイトレーダー・FXトレーダー
小中高等学校教員
特別支援学校教員
大学教員
その他の教員
著述家
記者・編集者
美術家・デザイナー・写真家・映像撮影者
芸能人
プロスポーツ選手
その他の専門的・技術的職業従事者"
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,"事務従事者
事務員 577 298 279"
,1,
,1,"販売従事者
販売店員
露店・行商・廃品回収
営業職業従事者
その他の販売従事者"
,1,
,1,
,1,
,1,
,1,"サービス職業従事者
介護サービス職業従事者
美容師・理容師
調理人・バーテンダー
飲食店店員
ホステス・ホスト
遊技場等店員
その他のサービス職業従事者"
,1,
,1,
,1,
,1,
,1,
,1,
,1,
,1,"保安職業従事者
自衛官
警察官・海上保安官・看守・消防員等
その他の保安職業従事者"
,1,
,1,
,1,
,2,
,2,
自殺者,2,
,2,
,2,
,2,議員・知事・課長以上の公務員
,2,会社・公団等の役員
,2,会社・公団等の部・課長
,2,小売店自営者
,2,不動産業自営者
,2,飲食店自営者
,2,農林漁業自営者
,2,製造業自営者
,2,土木・建築業自営者
,2,その他の自営者
,2,
,2,研究者
,2,情報処理・通信技術者
,2,医師
,2,歯科医師
,2,獣医師
,2,薬剤師
,2,保健師
,2,助産師
,2,看護師(准看護師を含む)
,2,その他の保健医療従事者
,2,社会福祉専門職業従事者
,2,弁護士
,2,公認会計士
,2,税理士
,2,デイトレーダー・FXトレーダー
,2,小中高等学校教員
,2,特別支援学校教員
,2,大学教員
,2,その他の教員
,2,著述家
,2,記者・編集者
,2,美術家・デザイナー・写真家・映像撮影者
,2,芸能人
,2,プロスポーツ選手
,2,その他の専門的・技術的職業従事者
,2,
,2,事務員
,2,
,2,販売店員
,2,露店・行商・廃品回収
,2,営業職業従事者
,2,その他の販売従事者
,2,
,2,介護サービス職業従事者
,2,美容師・理容師
,2,調理人・バーテンダー
,2,飲食店店員
,2,ホステス・ホスト
,2,遊技場等店員
,2,その他のサービス職業従事者
,2,
,2,自衛官
,2,警察官・海上保安官・看守・消防員等
,2,その他の保安職業従事者
,3,"総数
男性 女性"
,3,
自殺者,3,"20,320"
,3,"8,092"
,3,"1,781"
,3,33
,3,262
,3,93
,3,84
,3,55
,3,132
,3,229
,3,73
,3,307
,3,513
,3,975
,3,12
,3,105
,3,53
,3,16
,3,2
,3,12
,3,4
,3,0
,3,94
,3,95
,3,45
,3,15
,3,1
,3,14
,3,5
,3,65
,3,8
,3,15
,3,46
,3,1
,3,3
,3,33
,3,5
,3,5
,3,321
,3,
,3,577
,3,648
,3,311
,3,15
,3,192
,3,130
,3,"1,003"
,3,202
,3,17
,3,46
,3,204
,3,48
,3,24
,3,462
,3,202
,3,45
,3,62
,3,95
,4,
,4,男性
自殺者,4,"13,801"
,4,"6,331"
,4,"1,594"
,4,31
,4,232
,4,86
,4,73
,4,43
,4,95
,4,211
,4,71
,4,303
,4,449
,4,687
,4,10
,4,96
,4,42
,4,15
,4,1
,4,4
,4,0
,4,0
,4,24
,4,46
,4,27
,4,15
,4,1
,4,11
,4,5
,4,45
,4,7
,4,12
,4,26
,4,1
,4,3
,4,19
,4,5
,4,4
,4,268
,4,
,4,298
,4,446
,4,165
,4,13
,4,169
,4,99
,4,578
,4,116
,4,11
,4,36
,4,116
,4,9
,4,14
,4,276
,4,193
,4,43
,4,59
,4,91
,5,
,5,女性
自殺者,5,"6,519"
,5,"1,761"
,5,187
,5,2
,5,30
,5,7
,5,11
,5,12
,5,37
,5,18
,5,2
,5,4
,5,64
,5,288
,5,2
,5,9
,5,11
,5,1
,5,1
,5,8
,5,4
,5,0
,5,70
,5,49
,5,18
,5,0
,5,0
,5,3
,5,0
,5,20
,5,1
,5,3
,5,20
,5,0
,5,0
,5,14
,5,0
,5,1
,5,53
,5,
,5,279
,5,202
,5,146
,5,2
,5,23
,5,31
,5,425
,5,86
,5,6
,5,10
,5,88
,5,39
,5,10
,5,186
,5,9
,5,2
,5,3
,5,4
